model-layer-000.safetensors: 1186 tensors, 0 kept bf16
model-layer-001.safetensors: 1186 tensors, 0 kept bf16
model-layer-002.safetensors: 1186 tensors, 0 kept bf16
model-layer-003.safetensors: 1186 tensors, 0 kept bf16
model-layer-004.safetensors: 1186 tensors, 0 kept bf16
model-layer-005.safetensors: 1183 tensors, 0 kept bf16
model-layer-006.safetensors: 1186 tensors, 0 kept bf16
model-layer-007.safetensors: 1186 tensors, 0 kept bf16
model-layer-008.safetensors: 1186 tensors, 0 kept bf16
model-layer-009.safetensors: 1186 tensors, 0 kept bf16
model-layer-010.safetensors: 1186 tensors, 0 kept bf16
model-layer-011.safetensors: 1183 tensors, 0 kept bf16
model-layer-012.safetensors: 1186 tensors, 0 kept bf16
model-layer-013.safetensors: 1186 tensors, 0 kept bf16
model-layer-014.safetensors: 1186 tensors, 0 kept bf16
model-layer-015.safetensors: 1186 tensors, 0 kept bf16
model-layer-016.safetensors: 1186 tensors, 0 kept bf16
model-layer-017.safetensors: 1183 tensors, 0 kept bf16
model-layer-018.safetensors: 1186 tensors, 0 kept bf16
model-layer-019.safetensors: 1186 tensors, 0 kept bf16
model-layer-020.safetensors: 1186 tensors, 0 kept bf16
model-layer-021.safetensors: 1186 tensors, 0 kept bf16
model-layer-022.safetensors: 1186 tensors, 0 kept bf16
model-layer-023.safetensors: 1183 tensors, 0 kept bf16
model-layer-024.safetensors: 1186 tensors, 0 kept bf16
model-layer-025.safetensors: 1186 tensors, 0 kept bf16
model-layer-026.safetensors: 1186 tensors, 0 kept bf16
model-layer-027.safetensors: 1186 tensors, 0 kept bf16
model-layer-028.safetensors: 1186 tensors, 0 kept bf16
model-layer-029.safetensors: 1183 tensors, 0 kept bf16
total 15.29 GiB in 31 shards; 0 tensors kept bf16 for off-grid groups; 222 ignored modules
